"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"102822-NODE/10219299424","","Gare Palmeraie Dgi","","5.361168","-3.957872","","","0","","","0","",""
"102822-NODE/10234827985","","Gare Faya","","5.367815","-3.9379","","","0","","","0","",""
"102822-NODE/10234827986","","Atci 1er portail","","5.364927","-3.937102","","","0","","","0","",""
"102822-NODE/10234827987","","Bon Prix","","5.363541","-3.93673","","","0","","","0","",""
"102822-NODE/10234827988","","Petit portail","","5.361829","-3.938476","","","0","","","0","",""
"102822-NODE/10234827989","","Pharmacie","","5.353658","-3.940868","","","0","","","0","",""
"102822-NODE/10234827990","","Petit portail","","5.361916","-3.938548","","","0","","","0","",""
"102822-NODE/10234827991","","Atci 1er portail","","5.36506","-3.937229","","","0","","","0","",""
"102822-NODE/10234827992","","Atci","","5.366735","-3.937684","","","0","","","0","",""
"102822-NODE/10234827993","","Gare Faya","","5.367793","-3.937982","","","0","","","0","",""
"102822-NODE/10265528610","","Cité Sir","","5.39001","-3.929767","","","0","","","0","",""
"102822-NODE/10265528611","","Carrefour Boulangerie","","5.389874","-3.928847","","","0","","","0","",""
"102822-NODE/10265528612","","Carrefour Bassamois","","5.389774","-3.928063","","","0","","","0","",""
"102822-NODE/10265528613","","Carrefour Clinique","","5.389648","-3.927351","","","0","","","0","",""
"102822-NODE/10265528614","","Carrefour Chateau","","5.388875","-3.925674","","","0","","","0","",""
"102822-NODE/10265528615","","Carrefour Prestige","","5.387264","-3.927363","","","0","","","0","",""
"102822-NODE/10265528616","","A l'antenne","","5.385909","-3.928809","","","0","","","0","",""
"102822-NODE/10265528617","","Carrefour Souade","","5.384959","-3.929927","","","0","","","0","",""
"102822-NODE/10265528618","","Carrefour Virage","","5.384384","-3.931933","","","0","","","0","",""
"102822-NODE/10265528619","","Pharmacie Ephrata","","5.382655","-3.931811","","","0","","","0","",""
"102822-NODE/10265528620","","Carrefour Ephrata","","5.380407","-3.931202","","","0","","","0","",""
"102822-NODE/10265528621","","Cité Bnetd","","5.378795","-3.930802","","","0","","","0","",""
"102822-NODE/10265528622","","Carrefour Laureades","","5.376264","-3.930131","","","0","","","0","",""
"102822-NODE/10265528623","","Nouveau goudron Abatta","","5.374186","-3.928967","","","0","","","0","",""
"102822-NODE/10265580836","","Nouveau goudron Abatta","","5.374643","-3.92916","","","0","","","0","",""
"102822-NODE/10265580837","","Carrefour Eglise","","5.375349","-3.929444","","","0","","","0","",""
"102822-NODE/10265580838","","Carrefour Laureades","","5.376506","-3.930353","","","0","","","0","",""
"102822-NODE/10265580839","","Garage","","5.377701","-3.930702","","","0","","","0","",""
"102822-NODE/10265580840","","Carrefour Clinique","","5.379354","-3.931133","","","0","","","0","",""
"102822-NODE/10265580841","","Carrefour Ephrata","","5.380521","-3.931485","","","0","","","0","",""
"102822-NODE/10265580842","","Pharmacie Ephrata","","5.382747","-3.932063","","","0","","","0","",""
"102822-NODE/10265580843","","Maquis Virage","","5.384069","-3.932401","","","0","","","0","",""
"102822-NODE/10265580844","","Carrefour Virage","","5.38466","-3.931732","","","0","","","0","",""
"102822-NODE/10265580845","","Carrefour Cma","","5.385105","-3.930131","","","0","","","0","",""
"102822-NODE/10265580846","","Carrefour Minicar","","5.385648","-3.92942","","","0","","","0","",""
"102822-NODE/10265580847","","A l'antenne","","5.386396","-3.928628","","","0","","","0","",""
